tp,sex,edu,income,pipei
曲院风荷,F,高中,39575,0.269
平湖秋月,F,大学,39660,0.324
断桥残雪,M,初中,49751,0.921
花港观鱼,F,初中,6123,0.077
柳浪闻莺,F,初中,32703,0.573
三潭印月,F,大学,21879,0.884
双峰插云,M,初中,13154,0.146
雷峰夕照,F,大学,13318,0.312
南屏晚钟,M,大学,14101,0.418
苏提春晓,M,高中,32000,0.932
曲院风荷,F,高中,30072,0.621
平湖秋月,M,初中,43948,0.08
断桥残雪,M,高中,44520,0.541
花港观鱼,M,大学,8322,0.756
柳浪闻莺,F,大学及以上,8953,0.895
三潭印月,M,初中,47371,0.701
双峰插云,M,大学,34569,0.347
雷峰夕照,F,大学,7623,0.579
南屏晚钟,F,大学及以上,4492,0.122
苏提春晓,F,初中,36855,0.961
曲院风荷,M,高中,41198,0.743
平湖秋月,M,大学,24157,0.804
断桥残雪,F,大学,49434,0.078
花港观鱼,M,大学及以上,30195,0.446
柳浪闻莺,F,高中,4463,0.675
三潭印月,M,大学及以上,27169,0.471
双峰插云,F,大学及以上,47844,0.955
雷峰夕照,F,大学及以上,31611,0.024
南屏晚钟,M,初中,23509,0.91
苏提春晓,M,大学,47320,0.892
曲院风荷,M,高中,47528,0.867
平湖秋月,M,大学,26876,0.221
断桥残雪,M,大学,15667,0.11
花港观鱼,M,初中,48103,0.354
柳浪闻莺,M,初中,8282,0.163
三潭印月,M,初中,28303,0.121
双峰插云,F,高中,18547,0.665
雷峰夕照,M,初中,16359,0.812
南屏晚钟,F,大学,46272,0.691
苏提春晓,M,大学,44091,0.647
曲院风荷,M,大学及以上,15707,0.659
平湖秋月,M,大学,21866,0.079
断桥残雪,F,大学及以上,20844,0.271
花港观鱼,F,高中,34966,0.195
柳浪闻莺,M,大学及以上,43858,0.932
三潭印月,M,初中,24455,0.52
双峰插云,M,大学,22588,0.879
雷峰夕照,M,高中,11854,0.849
南屏晚钟,F,初中,23749,0.312
苏提春晓,M,大学及以上,34667,0.609
曲院风荷,M,大学,20065,0.239
平湖秋月,M,大学及以上,45753,0.418
断桥残雪,F,高中,28880,0.04
花港观鱼,M,初中,4520,0.798
柳浪闻莺,M,大学及以上,25732,0.317
三潭印月,M,高中,31808,0.448
双峰插云,M,初中,49213,0.416
雷峰夕照,M,高中,26501,0.31
南屏晚钟,F,大学及以上,22346,0.202
苏提春晓,M,大学,42935,0.201
曲院风荷,M,初中,38831,0.93
平湖秋月,F,大学及以上,16506,0.139
断桥残雪,M,初中,3765,0.08
花港观鱼,F,高中,14122,0.331
柳浪闻莺,F,高中,28032,0.82
三潭印月,M,高中,47273,0.146
双峰插云,M,初中,25731,0.269
雷峰夕照,F,大学及以上,12916,0.14
南屏晚钟,M,大学,37294,0.136
苏提春晓,M,大学,44713,0.885
曲院风荷,F,大学及以上,23285,0.528
平湖秋月,F,大学及以上,32953,0.437
断桥残雪,F,初中,29717,0.403
花港观鱼,M,大学,30502,0.62
柳浪闻莺,F,大学及以上,6292,0.147
三潭印月,M,初中,7262,0.965
双峰插云,M,初中,23547,0.224
雷峰夕照,F,初中,22577,0.83
南屏晚钟,M,高中,5542,0.12
苏提春晓,F,初中,47769,0.975
曲院风荷,F,大学,10559,0.821
平湖秋月,M,高中,14557,0.144
断桥残雪,F,高中,5819,0.106
花港观鱼,F,初中,39463,0.85
柳浪闻莺,F,大学,6245,0.428
三潭印月,F,高中,34495,0.787
双峰插云,M,高中,37750,0.051
雷峰夕照,F,初中,4976,0.042
南屏晚钟,M,大学及以上,35202,0.056
苏提春晓,F,大学及以上,34224,0.412
曲院风荷,F,高中,21702,0.885
平湖秋月,M,大学及以上,5104,0.05
断桥残雪,M,高中,32336,0.336
花港观鱼,M,大学及以上,6553,0.745
柳浪闻莺,M,高中,26450,0.897
三潭印月,F,大学及以上,13565,0.003
双峰插云,F,初中,30818,0.602
雷峰夕照,M,初中,34048,0.141
南屏晚钟,M,大学,44394,0.273
苏提春晓,F,大学,41595,0.934
曲院风荷,F,高中,47570,0.797
平湖秋月,F,高中,11284,0.087
断桥残雪,F,高中,11415,0.301
花港观鱼,F,大学,5074,0.898
柳浪闻莺,M,高中,26281,0.911
三潭印月,F,大学,40285,0.679
双峰插云,M,高中,29384,0.747
雷峰夕照,M,大学及以上,18608,0.832
南屏晚钟,M,大学,6660,0.786
苏提春晓,F,高中,29860,0.434
曲院风荷,F,大学及以上,3821,0.304
平湖秋月,M,初中,29797,0.768
断桥残雪,M,大学及以上,5590,0.141
花港观鱼,F,大学及以上,23359,0.518
柳浪闻莺,F,初中,32329,0.334
三潭印月,F,大学及以上,22610,0.442
双峰插云,F,高中,29920,0.223
雷峰夕照,F,大学及以上,32169,0.856
南屏晚钟,F,大学及以上,47887,0.443
苏提春晓,F,大学,13966,0.131
曲院风荷,M,大学及以上,18564,0.092
平湖秋月,F,大学及以上,25675,0.538
断桥残雪,F,初中,37649,0.185
花港观鱼,F,高中,37442,0.656
柳浪闻莺,F,初中,45927,0.908
三潭印月,M,高中,29055,0.851
双峰插云,M,大学及以上,4146,0.338
雷峰夕照,F,大学,23805,0.564
南屏晚钟,M,初中,17718,0.974
苏提春晓,M,大学,26824,0.912
曲院风荷,F,初中,49022,0.612
平湖秋月,F,大学及以上,48778,0.516
断桥残雪,M,初中,20607,0.504
花港观鱼,M,初中,19165,0.667
柳浪闻莺,F,初中,20348,0.318
三潭印月,F,高中,24303,0.687
双峰插云,M,大学,24604,0.23
雷峰夕照,M,高中,8984,0.443
南屏晚钟,M,大学,5205,0.922
苏提春晓,F,初中,7308,0.265
曲院风荷,M,高中,17024,0.088
平湖秋月,F,高中,11803,0.333
断桥残雪,F,大学,36160,0.993
花港观鱼,M,大学及以上,15403,0.786
柳浪闻莺,M,初中,15038,0.702
三潭印月,F,大学,20134,0.868
双峰插云,M,高中,44980,0.273
雷峰夕照,F,大学及以上,7503,0.894
南屏晚钟,M,大学,22723,0.09
苏提春晓,M,高中,18542,0.544
曲院风荷,F,高中,33180,0.66
平湖秋月,F,初中,29276,0.388
断桥残雪,F,大学,29716,0.077
花港观鱼,F,高中,19473,0.406
柳浪闻莺,M,大学,47579,0.919
三潭印月,F,大学,7395,0.695
双峰插云,F,初中,12250,0.276
雷峰夕照,F,大学,3767,0.16
南屏晚钟,M,大学,9715,0.834
苏提春晓,M,高中,11662,0.959
曲院风荷,M,大学,48614,0.837
平湖秋月,F,高中,44591,0.539
断桥残雪,F,初中,12608,0.977
花港观鱼,F,初中,22869,0.084
柳浪闻莺,F,大学,10099,0.102
三潭印月,F,高中,26143,0.924
双峰插云,M,大学及以上,11390,0.035
雷峰夕照,M,初中,24463,0.131
南屏晚钟,F,大学,32577,0.595
苏提春晓,M,大学,31333,0.277
曲院风荷,M,高中,48716,0.624
平湖秋月,F,高中,43865,0.981
断桥残雪,M,高中,38150,0.612
花港观鱼,M,高中,36353,0.714
柳浪闻莺,F,初中,8105,0.87
三潭印月,F,高中,32061,0.042
双峰插云,F,初中,10351,0.988
雷峰夕照,M,初中,38295,0.675
南屏晚钟,M,高中,14834,0.586
苏提春晓,F,初中,41208,0.361
曲院风荷,F,大学及以上,29020,0.62
平湖秋月,M,大学及以上,23599,0.653
断桥残雪,F,初中,21835,0.731
花港观鱼,F,初中,42439,0.554
柳浪闻莺,M,大学及以上,23503,0.843
三潭印月,F,大学及以上,35011,0.554
双峰插云,M,大学及以上,21956,0.415
雷峰夕照,M,大学及以上,37357,0.713
南屏晚钟,M,大学,19570,0.767
苏提春晓,F,初中,30873,0.475
曲院风荷,F,初中,7895,0.896
平湖秋月,M,初中,25462,0.688
断桥残雪,F,大学,18813,0.939
花港观鱼,F,大学及以上,25252,0.305
柳浪闻莺,M,高中,40156,0.648
三潭印月,F,初中,38487,0.495
双峰插云,F,初中,17923,0.884
雷峰夕照,F,初中,20954,0.318
南屏晚钟,F,初中,27981,0.867
苏提春晓,F,大学,5855,0.705
曲院风荷,M,大学,34437,0.783
平湖秋月,M,大学,37482,0.155
断桥残雪,M,大学及以上,16634,0.628
花港观鱼,M,初中,16746,0.592
柳浪闻莺,F,大学及以上,38791,0.185
三潭印月,M,高中,6030,0.759
双峰插云,M,大学,41345,0.173
雷峰夕照,M,大学,42871,0.315
南屏晚钟,M,大学,31379,0.21
苏提春晓,M,初中,8204,0.285
曲院风荷,F,高中,45280,0.433
平湖秋月,M,初中,40625,0.758
断桥残雪,M,初中,6878,0.846
花港观鱼,F,大学及以上,37448,0.366
柳浪闻莺,F,大学及以上,45865,0.88
三潭印月,M,初中,37987,0.687
双峰插云,M,大学及以上,13677,0.3
雷峰夕照,M,初中,22412,0.189
南屏晚钟,F,大学及以上,35629,0.053
苏提春晓,F,大学,11877,0.896
曲院风荷,F,大学及以上,40913,0.317
平湖秋月,M,大学及以上,44000,0.88
断桥残雪,M,大学及以上,7342,0.307
花港观鱼,F,大学,7262,0.766
柳浪闻莺,M,大学,47781,0.069
三潭印月,F,高中,23466,0.406
双峰插云,F,大学,32569,0.588
雷峰夕照,F,初中,39186,0.003
南屏晚钟,F,大学及以上,12738,0.88
苏提春晓,M,大学及以上,8914,0.034
曲院风荷,F,大学及以上,42381,0.0
平湖秋月,M,初中,26653,0.7
断桥残雪,M,大学及以上,5338,0.631
花港观鱼,M,高中,9933,0.292
柳浪闻莺,F,大学及以上,22385,0.084
三潭印月,M,初中,31896,0.847
双峰插云,M,高中,21054,0.614
雷峰夕照,M,大学及以上,18298,0.156
南屏晚钟,M,大学,30768,0.163
苏提春晓,M,大学,13760,0.991
曲院风荷,M,大学,47348,0.508
平湖秋月,M,初中,20988,0.377
断桥残雪,M,高中,32216,0.282
花港观鱼,M,大学,45971,0.313
柳浪闻莺,F,高中,4776,0.058
三潭印月,F,大学,41848,0.404
双峰插云,F,初中,30262,0.149
雷峰夕照,F,高中,49696,0.408
南屏晚钟,M,高中,5767,0.098
苏提春晓,F,大学,38738,0.44
曲院风荷,M,初中,22284,0.479
平湖秋月,M,大学及以上,23476,0.729
断桥残雪,M,大学,33891,0.399
花港观鱼,M,大学,7662,0.375
柳浪闻莺,M,大学,33899,0.506
三潭印月,M,高中,3488,0.174
双峰插云,F,高中,3020,0.778
雷峰夕照,M,大学,39799,0.517
南屏晚钟,M,初中,23254,0.712
苏提春晓,F,初中,38551,0.862
曲院风荷,F,初中,41597,0.563
平湖秋月,M,大学及以上,38284,0.433
断桥残雪,F,大学及以上,8706,0.298
花港观鱼,M,初中,32767,0.121
柳浪闻莺,F,大学,23123,0.296
三潭印月,F,高中,28291,0.539
双峰插云,M,初中,17917,0.129
雷峰夕照,F,高中,5146,0.066
南屏晚钟,F,大学及以上,6192,0.293
苏提春晓,M,高中,34882,0.765
曲院风荷,F,初中,10370,0.692
平湖秋月,M,高中,7839,0.499
断桥残雪,F,大学及以上,38908,0.844
花港观鱼,M,大学,45266,0.722
柳浪闻莺,F,大学,3351,0.354
三潭印月,F,大学,3198,0.025
双峰插云,M,大学及以上,43983,0.869
雷峰夕照,F,高中,23799,0.598
南屏晚钟,M,初中,40084,0.167
苏提春晓,F,高中,12984,0.171
曲院风荷,M,大学,17020,0.698
平湖秋月,F,大学,30929,0.129
断桥残雪,F,初中,24935,0.56
花港观鱼,M,大学,8539,0.265
柳浪闻莺,M,大学,12664,0.665
三潭印月,F,初中,13016,0.042
双峰插云,F,大学及以上,8762,0.744
雷峰夕照,M,初中,26257,0.815
南屏晚钟,F,大学,3064,0.193
苏提春晓,M,高中,6828,0.306
曲院风荷,F,初中,24206,0.753
平湖秋月,M,大学及以上,20015,0.873
断桥残雪,F,初中,14360,0.597
花港观鱼,F,初中,9872,0.832
柳浪闻莺,F,初中,37374,0.746
三潭印月,F,大学及以上,10737,0.99
双峰插云,F,高中,36100,0.889
雷峰夕照,M,大学及以上,32731,0.917
南屏晚钟,M,大学,15820,0.583
苏提春晓,M,初中,37318,0.961
曲院风荷,M,高中,20784,0.748
平湖秋月,M,大学及以上,48161,0.751
断桥残雪,M,大学,43945,0.958
花港观鱼,M,高中,37411,0.778
柳浪闻莺,M,初中,34005,0.029
三潭印月,M,初中,32800,0.041
双峰插云,F,大学,39423,0.438
雷峰夕照,F,高中,19992,0.674
南屏晚钟,M,大学及以上,39758,0.334
苏提春晓,F,初中,28898,0.525
曲院风荷,F,大学,41814,0.915
平湖秋月,F,高中,33535,0.586
断桥残雪,F,初中,29856,0.426
花港观鱼,F,大学,27168,0.586
柳浪闻莺,M,高中,38779,0.976
三潭印月,M,大学及以上,21932,0.66
双峰插云,M,高中,39777,0.95
雷峰夕照,F,高中,31682,0.412
南屏晚钟,F,高中,33502,0.856
苏提春晓,M,初中,15554,0.505
曲院风荷,F,大学及以上,9259,0.123
平湖秋月,M,大学及以上,23141,0.266
断桥残雪,M,大学,3738,0.604
花港观鱼,F,高中,42048,0.131
柳浪闻莺,F,大学及以上,10930,0.533
三潭印月,F,高中,3858,0.92
双峰插云,F,大学,38210,0.076
雷峰夕照,F,高中,8336,0.505
南屏晚钟,M,大学及以上,41541,0.157
苏提春晓,F,初中,40127,0.136
曲院风荷,F,初中,25246,0.895
平湖秋月,M,大学及以上,11080,0.268
断桥残雪,F,大学及以上,15902,0.574
花港观鱼,M,大学及以上,30511,0.612
柳浪闻莺,F,初中,47732,0.96
三潭印月,M,大学,11257,0.461
双峰插云,F,大学及以上,19025,0.963
雷峰夕照,F,大学及以上,35328,0.946
南屏晚钟,F,大学及以上,13797,0.458
苏提春晓,F,高中,12451,0.578
曲院风荷,M,初中,37243,0.369
平湖秋月,M,大学及以上,43409,0.145
断桥残雪,F,大学及以上,25180,0.185
花港观鱼,F,初中,13740,0.774
柳浪闻莺,F,初中,11298,0.544
三潭印月,F,初中,19257,0.052
双峰插云,F,高中,33590,0.61
雷峰夕照,M,大学及以上,27890,0.613
南屏晚钟,F,高中,29358,0.142
苏提春晓,F,初中,27839,0.835
曲院风荷,F,初中,26187,0.65
平湖秋月,M,高中,11517,0.272
断桥残雪,F,高中,23479,0.929
花港观鱼,M,大学,23789,0.309
柳浪闻莺,F,大学及以上,31155,0.439
三潭印月,F,高中,46168,0.815
双峰插云,F,初中,8514,0.889
雷峰夕照,F,大学,32741,0.136
南屏晚钟,F,大学,28827,0.631
苏提春晓,M,大学,34457,0.048
曲院风荷,M,初中,31639,0.219
平湖秋月,M,大学及以上,3944,0.124
断桥残雪,M,大学,27489,0.601
花港观鱼,F,高中,3084,0.26
柳浪闻莺,F,大学,25005,0.344
三潭印月,M,初中,42482,0.858
双峰插云,F,大学及以上,29793,0.634
雷峰夕照,M,初中,36574,0.607
南屏晚钟,F,大学及以上,7826,0.875
苏提春晓,F,高中,48697,0.836
曲院风荷,F,大学及以上,39980,0.136
平湖秋月,F,大学及以上,35658,0.604
断桥残雪,M,大学,15407,0.295
花港观鱼,M,高中,35133,0.708
柳浪闻莺,M,大学,30199,0.123
三潭印月,F,高中,29934,0.642
双峰插云,M,初中,17039,0.042
雷峰夕照,F,高中,28741,0.989
南屏晚钟,M,初中,35284,0.416
苏提春晓,M,初中,23715,0.086
曲院风荷,M,大学及以上,31665,0.965
平湖秋月,M,大学及以上,25946,0.886
断桥残雪,F,大学,21828,0.809
花港观鱼,F,大学及以上,39987,0.041
柳浪闻莺,M,高中,27476,0.391
三潭印月,F,大学及以上,35550,0.545
双峰插云,F,大学及以上,41314,0.816
雷峰夕照,M,大学,34737,0.215
南屏晚钟,M,初中,19644,0.451
苏提春晓,F,大学及以上,23127,0.062
曲院风荷,M,初中,49927,0.469
平湖秋月,M,高中,40636,0.837
断桥残雪,M,大学,48110,0.775
花港观鱼,F,初中,13168,0.077
柳浪闻莺,M,大学及以上,49029,0.574
三潭印月,F,大学及以上,39250,0.853
双峰插云,M,大学,5851,0.946
雷峰夕照,M,初中,4192,0.565
南屏晚钟,F,初中,31009,0.661
苏提春晓,M,大学及以上,48310,0.833
曲院风荷,F,高中,24813,0.105
平湖秋月,M,初中,33098,0.382
断桥残雪,F,大学及以上,9504,0.286
花港观鱼,M,大学,39657,0.041
柳浪闻莺,M,高中,26152,0.868
三潭印月,F,高中,20664,0.84
双峰插云,F,大学及以上,40209,0.072
雷峰夕照,F,高中,5458,0.703
南屏晚钟,M,初中,14695,0.484
苏提春晓,F,大学,18652,0.449
曲院风荷,M,初中,24819,0.939
平湖秋月,F,大学,19762,0.387
断桥残雪,F,大学,47419,0.024
花港观鱼,M,大学及以上,20701,0.494
柳浪闻莺,M,高中,26768,0.912
三潭印月,M,大学,4987,0.985
双峰插云,M,初中,49013,0.6
雷峰夕照,F,高中,42439,0.552
南屏晚钟,M,初中,24026,0.458
苏提春晓,F,大学及以上,41400,0.765
曲院风荷,M,大学及以上,15977,0.265
平湖秋月,F,大学及以上,19107,0.423
断桥残雪,F,初中,47018,0.565
花港观鱼,F,大学及以上,31274,0.245
柳浪闻莺,F,大学,6105,0.072
三潭印月,F,初中,19627,0.388
双峰插云,M,高中,38116,0.566
雷峰夕照,F,大学,11509,0.201
南屏晚钟,M,大学,29591,0.295
苏提春晓,F,大学,6854,0.085
曲院风荷,M,初中,26661,0.716
平湖秋月,F,初中,19524,0.415
断桥残雪,M,大学,30594,0.728
花港观鱼,F,大学及以上,46496,0.374
柳浪闻莺,M,大学,23246,0.21
三潭印月,M,大学及以上,45468,0.33
双峰插云,M,高中,25823,0.754
雷峰夕照,F,大学及以上,13780,0.517
南屏晚钟,M,大学及以上,46195,0.069
苏提春晓,F,高中,47616,0.169
曲院风荷,F,大学,15089,0.122
平湖秋月,M,大学及以上,23120,0.94
断桥残雪,F,初中,18188,0.966
花港观鱼,F,初中,25298,0.881
柳浪闻莺,M,初中,38271,0.251
三潭印月,F,大学,8839,0.612
双峰插云,F,大学,9126,0.451
雷峰夕照,M,大学及以上,34453,0.261
南屏晚钟,F,大学及以上,44491,0.564
苏提春晓,F,高中,15396,0.132
曲院风荷,F,大学及以上,20297,0.463
平湖秋月,F,大学及以上,48910,0.422
断桥残雪,F,大学,6578,0.117
花港观鱼,M,大学及以上,47236,0.955
柳浪闻莺,F,初中,29289,0.16
三潭印月,F,大学,24189,0.718
双峰插云,M,大学及以上,33817,0.6
雷峰夕照,F,大学及以上,25133,0.371
南屏晚钟,M,初中,13973,0.242
苏提春晓,F,高中,11897,0.432
曲院风荷,F,高中,12656,0.611
平湖秋月,M,高中,10875,0.063
断桥残雪,F,大学,37473,0.675
花港观鱼,F,初中,48186,0.077
柳浪闻莺,F,大学,30856,0.076
三潭印月,F,大学及以上,40491,0.36
双峰插云,F,高中,25608,0.251
雷峰夕照,F,高中,43324,0.36
南屏晚钟,F,大学,49802,0.654
苏提春晓,F,大学及以上,34898,0.984
曲院风荷,F,大学,16107,0.706
平湖秋月,F,初中,3162,0.376
断桥残雪,F,大学,41900,0.42
花港观鱼,M,初中,14930,0.241
柳浪闻莺,M,大学及以上,20312,0.027
三潭印月,F,大学,5271,0.721
双峰插云,M,初中,4363,0.936
雷峰夕照,M,大学及以上,5812,0.858
南屏晚钟,M,大学,11952,0.931
苏提春晓,M,大学及以上,47649,0.871
曲院风荷,M,高中,41107,0.176
平湖秋月,F,高中,5022,0.685
断桥残雪,M,大学,20759,0.807
花港观鱼,M,大学及以上,35362,0.167
柳浪闻莺,M,大学,35355,0.707
三潭印月,M,高中,35459,0.137
双峰插云,F,初中,14998,0.432
雷峰夕照,M,初中,11758,0.91
南屏晚钟,F,初中,46968,0.716
苏提春晓,M,大学及以上,41509,0.254
曲院风荷,F,初中,41596,0.668
平湖秋月,M,大学,12648,0.831
断桥残雪,M,大学,19240,0.624
花港观鱼,M,高中,36892,0.218
柳浪闻莺,M,大学,31661,0.225
三潭印月,M,大学及以上,26586,0.781
双峰插云,F,高中,4703,0.125
雷峰夕照,M,大学,38851,0.988
南屏晚钟,M,初中,21367,0.998
苏提春晓,F,大学,9966,0.145
曲院风荷,M,初中,28157,0.388
平湖秋月,M,大学及以上,42084,0.849
断桥残雪,M,高中,44876,0.868
花港观鱼,M,大学,33118,0.328
柳浪闻莺,F,初中,41854,0.813
三潭印月,F,高中,22486,0.635
双峰插云,M,高中,19052,0.087
雷峰夕照,F,大学,24735,0.264
南屏晚钟,M,大学,42972,0.653
苏提春晓,F,大学,25396,0.421
曲院风荷,M,高中,6599,0.854
平湖秋月,F,初中,15332,0.218
断桥残雪,F,大学及以上,48792,0.75
花港观鱼,F,初中,43058,0.769
柳浪闻莺,M,初中,12833,0.148
三潭印月,M,高中,35973,0.266
双峰插云,F,初中,48539,0.611
雷峰夕照,F,初中,35141,0.899
南屏晚钟,M,高中,39039,0.079
苏提春晓,M,初中,3946,0.581
曲院风荷,M,大学,31177,0.407
平湖秋月,F,大学及以上,3723,0.796
断桥残雪,M,初中,8110,0.301
花港观鱼,F,大学及以上,45306,0.042
柳浪闻莺,F,高中,13970,0.048
三潭印月,M,高中,41349,0.982
双峰插云,M,大学,18397,0.984
雷峰夕照,F,大学及以上,5305,0.45
南屏晚钟,F,大学,40202,0.552
苏提春晓,M,初中,40389,0.898
曲院风荷,F,大学,16775,0.532
平湖秋月,F,大学,16431,0.402
断桥残雪,M,大学及以上,26406,0.478
花港观鱼,M,高中,14842,0.603
柳浪闻莺,F,高中,14891,0.403
三潭印月,F,高中,41657,0.41
双峰插云,M,大学及以上,39638,0.944
雷峰夕照,F,高中,41759,0.263
南屏晚钟,F,高中,5962,0.866
苏提春晓,F,大学及以上,20435,0.993
曲院风荷,F,大学,20595,0.136
平湖秋月,M,大学,39764,0.705
断桥残雪,M,大学,12382,0.132
花港观鱼,F,高中,34456,0.743
柳浪闻莺,F,高中,20682,0.336
三潭印月,M,初中,36630,0.778
双峰插云,M,高中,37671,0.813
雷峰夕照,M,高中,27507,0.075
南屏晚钟,M,大学,39367,0.981
苏提春晓,F,高中,43348,0.345
曲院风荷,M,初中,29900,0.69
平湖秋月,M,大学,22897,0.087
断桥残雪,M,大学,49857,0.29
花港观鱼,M,高中,32244,0.87
柳浪闻莺,F,大学,19607,0.668
三潭印月,M,大学及以上,9666,0.63
双峰插云,F,大学及以上,34969,0.029
雷峰夕照,M,大学及以上,15265,0.5
南屏晚钟,F,高中,7934,0.897
苏提春晓,M,大学,30005,0.763
曲院风荷,F,高中,6113,0.243
平湖秋月,F,大学及以上,39335,0.474
断桥残雪,M,初中,36548,0.096
花港观鱼,M,高中,16988,0.19
柳浪闻莺,M,大学,42736,0.136
三潭印月,M,大学及以上,37742,0.707
双峰插云,F,高中,22660,0.077
雷峰夕照,F,初中,8404,0.23
南屏晚钟,F,初中,10707,0.067
苏提春晓,F,大学及以上,3189,0.134
曲院风荷,M,高中,20677,0.576
平湖秋月,F,大学,42384,0.926
断桥残雪,M,大学及以上,12738,0.114
花港观鱼,M,初中,48076,0.699
柳浪闻莺,M,初中,20511,0.031
三潭印月,F,大学及以上,6712,0.907
双峰插云,F,高中,17987,0.89
雷峰夕照,M,大学及以上,46877,0.746
南屏晚钟,F,大学及以上,40416,0.068
苏提春晓,F,初中,25051,0.522
曲院风荷,M,大学,3429,0.924
平湖秋月,M,大学,10954,0.569
断桥残雪,M,高中,5791,0.066
花港观鱼,M,大学及以上,23662,0.193
柳浪闻莺,F,高中,24113,0.449
三潭印月,F,大学及以上,24011,0.788
双峰插云,F,初中,44355,0.76
雷峰夕照,F,高中,27766,0.048
南屏晚钟,M,大学,46256,0.724
苏提春晓,F,初中,21302,0.637
曲院风荷,M,初中,32361,0.805
平湖秋月,M,大学及以上,46214,0.665
断桥残雪,F,初中,44371,0.17
花港观鱼,M,大学及以上,9117,0.206
柳浪闻莺,F,大学,47188,0.695
三潭印月,M,高中,12082,0.488
双峰插云,M,大学及以上,9989,0.033
雷峰夕照,F,大学及以上,29259,0.023
南屏晚钟,M,大学,43230,0.969
苏提春晓,M,初中,18759,0.939
曲院风荷,F,高中,16107,0.47
平湖秋月,F,大学,44505,0.504
断桥残雪,M,初中,34128,0.773
花港观鱼,M,大学,49121,0.06
柳浪闻莺,M,高中,9576,0.794
三潭印月,M,高中,30324,0.507
双峰插云,F,高中,38668,0.639
雷峰夕照,F,大学及以上,36095,0.634
南屏晚钟,M,初中,8943,0.987
苏提春晓,M,大学,32336,0.542
曲院风荷,F,大学及以上,6381,0.136
平湖秋月,F,高中,14546,0.737
断桥残雪,F,高中,20720,0.052
花港观鱼,F,初中,35484,0.188
柳浪闻莺,M,高中,11639,0.83
三潭印月,M,大学及以上,13738,0.115
双峰插云,M,大学,44367,0.462
雷峰夕照,F,高中,25777,0.672
南屏晚钟,F,大学及以上,17178,0.616
苏提春晓,F,高中,18616,0.568
曲院风荷,F,初中,37113,0.955
平湖秋月,F,初中,41009,0.527
断桥残雪,F,大学及以上,30728,0.667
花港观鱼,M,高中,23508,0.216
柳浪闻莺,F,高中,16448,0.024
三潭印月,F,大学及以上,7285,0.707
双峰插云,M,初中,7611,0.969
雷峰夕照,F,初中,41394,0.75
南屏晚钟,M,大学,33744,0.39
苏提春晓,F,大学及以上,25449,0.492
曲院风荷,M,大学,43127,0.841
平湖秋月,F,高中,9770,0.148
断桥残雪,F,初中,20462,0.904
花港观鱼,M,高中,26232,0.847
柳浪闻莺,F,初中,26086,0.372
三潭印月,M,初中,8247,0.977
双峰插云,F,大学及以上,37203,0.864
雷峰夕照,F,高中,21443,0.766
南屏晚钟,F,大学,20646,0.086
苏提春晓,M,大学及以上,48912,0.388
曲院风荷,M,大学,22744,0.714
平湖秋月,F,高中,18483,0.764
断桥残雪,M,大学,24529,0.729
花港观鱼,M,大学,42483,0.635
柳浪闻莺,F,大学及以上,19348,0.253
三潭印月,F,大学及以上,24774,0.866
双峰插云,F,高中,7237,0.423
雷峰夕照,F,初中,20287,0.766
