tp,sex,edu,income,pipei
花港观鱼,M,大学及以上,27989,0.142
柳浪闻莺,F,初中,4094,0.45
三潭印月,F,大学,41084,0.673
双峰插云,F,大学,34621,0.947
雷峰夕照,F,大学,5561,0.639
南屏晚钟,F,大学及以上,19868,0.609
苏提春晓,F,大学及以上,7592,0.882
曲院风荷,M,大学及以上,30667,0.745
平湖秋月,M,高中,19874,0.401
断桥残雪,M,初中,24693,0.551
花港观鱼,F,大学及以上,28733,0.688
柳浪闻莺,F,初中,27914,0.332
三潭印月,F,初中,20304,0.387
双峰插云,M,高中,40209,0.853
雷峰夕照,F,大学及以上,48521,0.19
南屏晚钟,F,初中,5683,0.277
苏提春晓,F,大学,6014,0.235
曲院风荷,M,大学,12378,0.858
平湖秋月,M,高中,15486,0.997
断桥残雪,F,初中,33393,0.228
花港观鱼,F,高中,10993,0.555
柳浪闻莺,M,大学,33333,0.356
三潭印月,M,初中,36515,0.399
双峰插云,F,高中,12644,0.858
雷峰夕照,F,大学,38406,0.075
南屏晚钟,M,初中,8413,0.102
苏提春晓,F,大学,46224,0.784
曲院风荷,F,初中,3462,0.119
平湖秋月,M,初中,21942,0.016
断桥残雪,M,大学及以上,13196,0.395
花港观鱼,M,大学,31781,0.378
柳浪闻莺,F,高中,12179,0.077
三潭印月,M,大学,28314,0.162
双峰插云,F,初中,21003,0.703
雷峰夕照,F,大学,23873,0.91
南屏晚钟,M,初中,36747,0.126
苏提春晓,M,大学及以上,14287,0.661
曲院风荷,M,大学及以上,20806,0.591
平湖秋月,M,大学,19241,0.054
断桥残雪,M,初中,46661,0.55
花港观鱼,M,初中,12886,0.503
柳浪闻莺,M,大学及以上,36185,0.087
三潭印月,M,大学,10807,0.11
双峰插云,F,大学,36500,0.914
雷峰夕照,M,大学,6486,0.99
南屏晚钟,M,大学,29228,0.012
苏提春晓,F,大学,36938,0.136
曲院风荷,M,高中,41443,0.972
平湖秋月,M,大学,21256,0.558
断桥残雪,F,高中,8648,0.843
花港观鱼,M,高中,35153,0.38
柳浪闻莺,M,高中,19522,0.565
三潭印月,M,大学及以上,45689,0.625
双峰插云,M,大学及以上,3081,0.699
雷峰夕照,M,高中,9704,0.109
南屏晚钟,M,大学及以上,37601,0.221
苏提春晓,F,高中,16253,0.229
曲院风荷,F,初中,21144,0.176
平湖秋月,M,大学及以上,30822,0.648
断桥残雪,F,大学,20188,0.632
花港观鱼,M,高中,9561,0.237
柳浪闻莺,M,大学,29916,0.739
三潭印月,F,大学,26611,0.576
双峰插云,F,大学及以上,46483,0.288
雷峰夕照,F,初中,40341,0.567
南屏晚钟,M,初中,22631,0.129
苏提春晓,M,初中,19690,0.915
曲院风荷,F,初中,8473,0.68
平湖秋月,M,大学及以上,9966,0.412
断桥残雪,F,初中,14093,0.814
花港观鱼,F,高中,45399,0.423
柳浪闻莺,M,高中,24024,0.178
三潭印月,F,大学,13334,0.84
双峰插云,F,高中,18019,0.301
雷峰夕照,M,大学,10708,0.881
南屏晚钟,F,初中,19635,0.97
苏提春晓,F,大学,15997,0.132
曲院风荷,F,高中,46841,0.029
平湖秋月,F,初中,21748,0.62
断桥残雪,F,大学,42943,0.213
花港观鱼,M,高中,25454,0.426
柳浪闻莺,M,大学及以上,29155,0.736
三潭印月,F,大学及以上,45217,0.02
双峰插云,F,初中,6903,0.767
雷峰夕照,M,初中,8965,0.314
南屏晚钟,M,初中,32605,0.749
苏提春晓,F,高中,30673,0.161
曲院风荷,M,高中,19960,0.382
平湖秋月,M,大学,35320,0.04
断桥残雪,F,大学,22016,0.911
花港观鱼,F,大学,6196,0.48
柳浪闻莺,M,大学及以上,6403,0.944
三潭印月,F,大学,20489,0.061
双峰插云,M,高中,27393,0.509
雷峰夕照,M,大学,49839,0.387
南屏晚钟,F,大学及以上,37494,0.63
苏提春晓,M,大学及以上,3983,0.337
曲院风荷,F,大学及以上,9792,0.71
平湖秋月,M,大学,8429,0.914
断桥残雪,F,大学,21819,0.4
花港观鱼,F,大学及以上,11779,0.994
柳浪闻莺,F,大学及以上,15931,0.986
三潭印月,F,高中,13406,0.088
双峰插云,M,高中,24004,0.409
雷峰夕照,F,大学,49786,0.718
南屏晚钟,M,大学及以上,7126,0.225
苏提春晓,M,大学及以上,5072,0.281
曲院风荷,F,高中,3719,0.919
平湖秋月,M,初中,14938,0.997
断桥残雪,M,高中,28913,0.43
花港观鱼,M,高中,15160,0.374
柳浪闻莺,F,大学,29835,0.746
三潭印月,M,高中,16065,0.381
双峰插云,M,初中,23451,0.501
雷峰夕照,F,大学,12171,0.508
南屏晚钟,F,大学,19944,0.127
苏提春晓,M,初中,25575,0.376
曲院风荷,M,大学及以上,14473,0.547
平湖秋月,M,高中,43150,0.531
断桥残雪,M,初中,14631,0.541
花港观鱼,M,大学及以上,48587,0.812
柳浪闻莺,F,初中,10949,0.578
三潭印月,F,大学及以上,22512,0.071
双峰插云,F,大学及以上,34327,0.128
雷峰夕照,F,高中,35201,0.854
南屏晚钟,M,高中,20889,0.729
苏提春晓,M,大学及以上,16981,0.932
曲院风荷,F,大学及以上,8248,0.545
平湖秋月,M,高中,30005,0.208
断桥残雪,M,初中,44707,0.565
花港观鱼,M,大学,25781,0.302
柳浪闻莺,F,初中,12219,0.525
三潭印月,M,大学及以上,35648,0.638
双峰插云,M,大学,16328,0.86
雷峰夕照,M,大学及以上,36763,0.81
南屏晚钟,M,高中,47503,0.33
苏提春晓,F,大学,13750,0.395
曲院风荷,F,大学,34602,0.504
平湖秋月,F,大学及以上,28149,0.666
断桥残雪,M,大学及以上,4448,0.827
花港观鱼,M,初中,33368,0.901
柳浪闻莺,F,大学,15067,0.016
三潭印月,M,初中,42728,0.169
双峰插云,F,大学及以上,23443,0.773
雷峰夕照,F,大学及以上,36917,0.41
南屏晚钟,M,高中,18761,0.461
苏提春晓,F,大学及以上,12940,0.596
曲院风荷,M,初中,46874,0.423
平湖秋月,M,大学及以上,12749,0.114
断桥残雪,F,高中,31506,0.531
花港观鱼,M,高中,7734,0.309
柳浪闻莺,F,大学,11326,0.783
三潭印月,M,高中,49861,0.004
双峰插云,M,高中,31815,0.193
雷峰夕照,M,初中,41952,0.827
南屏晚钟,F,大学及以上,5660,0.553
苏提春晓,M,初中,28960,0.359
曲院风荷,F,初中,45829,0.728
平湖秋月,F,大学及以上,47631,0.045
断桥残雪,M,初中,9950,0.057
花港观鱼,F,大学,23810,0.522
柳浪闻莺,M,高中,27809,0.184
三潭印月,M,大学及以上,21374,0.778
双峰插云,F,高中,33335,0.39
雷峰夕照,M,高中,3272,0.212
南屏晚钟,M,初中,36117,0.111
苏提春晓,M,初中,29624,0.881
曲院风荷,M,初中,38413,0.026
平湖秋月,F,大学及以上,18194,0.005
断桥残雪,F,高中,33784,0.937
花港观鱼,F,高中,44630,0.306
柳浪闻莺,F,大学,40060,0.436
三潭印月,F,大学及以上,46738,0.943
双峰插云,F,大学及以上,4099,0.265
雷峰夕照,M,大学,20346,0.13
南屏晚钟,M,大学,16011,0.949
苏提春晓,F,大学及以上,36841,0.782
曲院风荷,F,初中,10789,0.669
平湖秋月,M,大学,37577,0.481
断桥残雪,F,初中,13259,0.591
花港观鱼,M,大学及以上,22075,0.865
柳浪闻莺,M,初中,3976,0.71
三潭印月,M,初中,37081,0.938
双峰插云,M,大学及以上,40374,0.178
雷峰夕照,M,初中,12373,0.99
南屏晚钟,M,大学,11286,0.741
苏提春晓,M,大学及以上,20717,0.974
曲院风荷,M,初中,29667,0.788
平湖秋月,F,高中,22407,0.174
断桥残雪,F,大学及以上,7457,0.087
花港观鱼,M,大学及以上,40782,0.365
柳浪闻莺,M,初中,41573,0.284
三潭印月,F,高中,39914,0.016
双峰插云,M,大学及以上,22848,0.8
雷峰夕照,M,大学,38124,0.213
南屏晚钟,F,初中,31197,0.177
苏提春晓,F,大学,16579,0.72
曲院风荷,F,初中,33160,0.498
平湖秋月,F,高中,34215,0.597
断桥残雪,F,初中,38492,0.458
花港观鱼,M,初中,46945,0.208
柳浪闻莺,F,大学及以上,41637,0.807
三潭印月,F,高中,16682,0.848
双峰插云,F,大学及以上,24015,0.53
雷峰夕照,F,大学,18793,0.664
南屏晚钟,F,大学,39911,0.284
苏提春晓,M,初中,37037,0.822
曲院风荷,F,大学,44039,0.822
平湖秋月,M,高中,19021,0.817
断桥残雪,M,初中,31883,0.989
花港观鱼,F,初中,6096,0.185
柳浪闻莺,M,大学,17493,0.247
三潭印月,M,大学及以上,10102,0.938
双峰插云,M,大学,23405,0.08
雷峰夕照,M,初中,6651,0.526
南屏晚钟,F,大学及以上,19747,0.194
苏提春晓,F,大学,25262,0.959
曲院风荷,F,初中,42586,0.163
平湖秋月,F,大学及以上,10918,0.078
断桥残雪,M,初中,33304,0.166
花港观鱼,M,初中,46629,0.93
柳浪闻莺,F,初中,30447,0.747
三潭印月,M,大学及以上,37279,0.828
双峰插云,M,大学,29716,0.359
雷峰夕照,M,大学及以上,33065,0.67
南屏晚钟,F,初中,15714,0.068
苏提春晓,M,高中,38030,0.634
曲院风荷,M,大学及以上,3927,0.385
平湖秋月,M,初中,30294,0.566
断桥残雪,F,高中,18039,0.175
花港观鱼,M,大学及以上,40444,0.564
柳浪闻莺,M,高中,27031,0.526
三潭印月,M,大学及以上,35998,0.101
双峰插云,M,大学,9354,0.889
雷峰夕照,M,大学,38049,0.808
南屏晚钟,M,大学及以上,9071,0.083
苏提春晓,F,初中,40025,0.901
曲院风荷,F,高中,46044,0.885
平湖秋月,M,大学,45440,0.114
断桥残雪,F,高中,42747,0.936
花港观鱼,F,大学,29755,0.287
柳浪闻莺,F,大学及以上,21244,0.691
三潭印月,M,高中,49947,0.494
双峰插云,M,大学及以上,33393,0.224
雷峰夕照,F,大学及以上,47534,0.25
南屏晚钟,F,大学及以上,19916,0.064
苏提春晓,M,高中,8563,0.088
曲院风荷,M,高中,23745,0.479
平湖秋月,F,初中,35782,0.345
断桥残雪,F,大学,20587,0.109
花港观鱼,M,初中,20816,0.877
柳浪闻莺,M,大学,21526,0.56
三潭印月,F,高中,11451,0.366
双峰插云,F,大学,27561,0.835
雷峰夕照,M,大学,23847,0.982
南屏晚钟,M,高中,35090,0.101
苏提春晓,F,大学,5510,0.59
曲院风荷,F,高中,35328,0.682
平湖秋月,F,大学及以上,19656,0.003
断桥残雪,M,大学,29403,0.162
花港观鱼,M,大学,14765,0.538
柳浪闻莺,F,高中,37670,0.178
三潭印月,M,大学,30796,0.24
双峰插云,M,大学及以上,24575,0.696
雷峰夕照,F,初中,13923,0.998
南屏晚钟,F,初中,31274,0.962
苏提春晓,M,初中,23903,0.544
曲院风荷,M,初中,4825,0.359
平湖秋月,F,大学,6203,0.803
断桥残雪,M,大学及以上,31407,0.126
花港观鱼,F,高中,21079,0.584
柳浪闻莺,F,高中,5383,0.126
三潭印月,F,初中,42513,0.743
双峰插云,M,大学,14814,0.465
雷峰夕照,M,大学,37840,0.239
南屏晚钟,M,初中,36822,0.152
苏提春晓,M,大学,31604,0.057
曲院风荷,M,大学及以上,25180,0.405
平湖秋月,F,大学及以上,32949,0.116
断桥残雪,M,初中,38175,0.476
花港观鱼,F,高中,4925,0.829
柳浪闻莺,M,高中,15358,0.208
三潭印月,M,大学及以上,11836,0.615
双峰插云,M,高中,15815,0.863
雷峰夕照,M,高中,42004,0.153
南屏晚钟,F,高中,23018,0.124
苏提春晓,F,高中,3578,0.922
曲院风荷,M,大学及以上,9116,0.944
平湖秋月,M,大学,17646,0.751
断桥残雪,M,大学及以上,39393,0.5
花港观鱼,M,初中,30630,0.755
柳浪闻莺,M,高中,22584,0.464
三潭印月,F,大学,42153,0.251
双峰插云,F,大学,9886,0.951
雷峰夕照,F,初中,9783,0.489
南屏晚钟,M,大学,30782,0.625
苏提春晓,M,初中,21520,0.777
曲院风荷,M,初中,25226,0.26
平湖秋月,M,初中,14779,0.828
断桥残雪,F,大学,43831,0.655
花港观鱼,F,高中,48021,0.148
柳浪闻莺,M,高中,22318,0.277
三潭印月,F,大学及以上,32515,0.965
双峰插云,M,大学及以上,9374,0.107
雷峰夕照,M,大学,37988,0.205
南屏晚钟,F,高中,9278,0.799
苏提春晓,M,大学及以上,11556,0.676
曲院风荷,F,大学,27822,0.522
平湖秋月,F,初中,48457,0.401
断桥残雪,M,大学,42567,0.164
花港观鱼,M,初中,45990,0.776
柳浪闻莺,F,大学,27466,0.551
三潭印月,F,大学及以上,4072,0.161
双峰插云,M,大学及以上,28590,0.107
雷峰夕照,M,初中,38407,0.477
南屏晚钟,F,大学,33603,0.965
苏提春晓,F,高中,19444,0.158
曲院风荷,F,大学及以上,40175,0.102
平湖秋月,M,大学,35875,0.787
断桥残雪,M,大学,40704,0.738
花港观鱼,F,初中,45896,0.193
柳浪闻莺,F,高中,33141,0.793
三潭印月,M,大学及以上,42730,0.425
双峰插云,M,大学及以上,44477,0.288
雷峰夕照,M,大学,18405,0.602
南屏晚钟,M,初中,14791,0.423
苏提春晓,F,初中,22083,0.724
曲院风荷,M,初中,15892,0.592
平湖秋月,F,大学及以上,37406,0.903
断桥残雪,M,大学及以上,19370,0.614
花港观鱼,M,高中,44340,0.546
柳浪闻莺,F,初中,20442,0.089
三潭印月,M,高中,27893,0.716
双峰插云,F,大学及以上,46400,0.067
雷峰夕照,M,初中,49990,0.338
南屏晚钟,M,高中,3210,0.649
苏提春晓,M,初中,46266,0.418
曲院风荷,F,初中,13106,0.753
平湖秋月,M,高中,37480,0.968
断桥残雪,F,高中,30263,0.108
花港观鱼,F,大学,29747,0.818
柳浪闻莺,M,大学,26671,0.963
三潭印月,F,初中,46899,0.018
双峰插云,M,大学,33955,0.846
雷峰夕照,M,高中,47417,0.397
南屏晚钟,M,初中,43465,0.995
苏提春晓,M,初中,35105,0.103
曲院风荷,M,大学及以上,23269,0.924
平湖秋月,F,高中,13054,0.757
断桥残雪,F,大学,18860,0.81
花港观鱼,M,高中,9624,0.22
柳浪闻莺,M,高中,40876,0.448
三潭印月,M,初中,45270,0.26
双峰插云,F,高中,7384,0.921
雷峰夕照,F,大学,29930,0.465
南屏晚钟,F,大学,46995,0.666
苏提春晓,M,大学及以上,37545,0.039
曲院风荷,M,初中,35716,0.031
平湖秋月,F,大学,43523,0.055
断桥残雪,M,高中,40314,0.172
花港观鱼,M,大学,27287,0.27
柳浪闻莺,F,大学,23535,0.288
三潭印月,M,大学及以上,40555,0.957
双峰插云,M,初中,37807,0.927
雷峰夕照,M,高中,45921,0.436
南屏晚钟,M,初中,18685,0.665
苏提春晓,M,初中,38245,0.403
曲院风荷,F,大学,34579,0.389
平湖秋月,M,高中,8153,0.686
断桥残雪,M,初中,5855,0.151
花港观鱼,M,初中,15253,0.749
柳浪闻莺,F,高中,16795,0.731
三潭印月,F,大学,11185,0.72
双峰插云,M,大学及以上,42453,0.554
雷峰夕照,M,大学,6492,0.034
南屏晚钟,M,大学及以上,8760,0.217
苏提春晓,F,大学及以上,21208,0.427
曲院风荷,F,大学,39963,0.748
平湖秋月,F,大学及以上,20844,0.507
断桥残雪,F,大学及以上,8396,0.449
花港观鱼,M,初中,27097,0.806
柳浪闻莺,M,初中,43253,0.625
三潭印月,M,大学及以上,34531,0.844
双峰插云,M,初中,22571,0.969
雷峰夕照,M,高中,13476,0.647
南屏晚钟,F,大学及以上,31638,0.288
苏提春晓,F,大学及以上,8393,0.434
曲院风荷,F,高中,13664,0.91
平湖秋月,M,大学,27329,0.82
断桥残雪,M,大学,30307,0.982
花港观鱼,F,高中,41840,0.266
柳浪闻莺,M,初中,25368,0.295
三潭印月,M,大学及以上,32175,0.977
双峰插云,F,高中,9127,0.38
雷峰夕照,F,初中,28003,0.833
南屏晚钟,F,大学及以上,46198,0.598
苏提春晓,F,初中,10007,0.326
曲院风荷,F,初中,31543,0.262
平湖秋月,M,高中,18044,0.263
断桥残雪,M,大学及以上,17147,0.051
花港观鱼,M,高中,16510,0.179
柳浪闻莺,M,大学,43298,0.07
三潭印月,M,大学,17555,0.158
双峰插云,F,大学,39573,0.213
雷峰夕照,F,高中,13004,0.501
南屏晚钟,F,高中,48058,0.506
苏提春晓,F,高中,25024,0.029
曲院风荷,F,大学,16280,0.145
平湖秋月,F,大学及以上,11607,0.943
断桥残雪,F,大学,34021,0.219
花港观鱼,F,初中,32112,0.564
柳浪闻莺,F,大学,6052,0.042
三潭印月,F,大学,27142,0.874
双峰插云,M,大学及以上,3666,0.748
雷峰夕照,F,高中,5144,0.081
南屏晚钟,M,初中,15271,0.107
苏提春晓,M,大学,18526,0.98
曲院风荷,F,大学及以上,9168,0.342
平湖秋月,M,高中,28613,0.063
断桥残雪,F,初中,28218,0.313
花港观鱼,F,大学及以上,31456,0.503
柳浪闻莺,M,大学,18600,0.677
三潭印月,M,初中,31651,0.718
双峰插云,M,大学,32787,0.845
雷峰夕照,F,大学及以上,12347,0.869
南屏晚钟,M,初中,49556,0.217
苏提春晓,M,初中,48284,0.277
曲院风荷,M,高中,23733,0.095
平湖秋月,M,大学,28493,0.027
断桥残雪,F,初中,9352,0.837
花港观鱼,F,大学及以上,43931,0.861
柳浪闻莺,M,初中,21598,0.0
三潭印月,M,大学,6372,0.526
双峰插云,M,大学,9363,0.147
雷峰夕照,M,大学,17788,0.496
南屏晚钟,M,初中,27887,0.507
苏提春晓,F,大学及以上,21995,0.594
曲院风荷,F,高中,34245,0.164
平湖秋月,M,初中,40784,0.566
断桥残雪,F,初中,43846,0.166
花港观鱼,M,初中,17984,0.404
柳浪闻莺,F,初中,44160,0.168
三潭印月,M,大学,9171,0.922
双峰插云,M,大学及以上,12853,0.925
雷峰夕照,M,大学,46226,0.591
南屏晚钟,M,大学及以上,31101,0.731
苏提春晓,M,初中,47559,0.179
曲院风荷,M,大学,30462,0.852
平湖秋月,M,大学及以上,42852,0.737
断桥残雪,M,初中,31001,0.661
花港观鱼,M,大学,27490,0.162
柳浪闻莺,F,初中,5954,0.046
三潭印月,F,高中,20325,0.647
双峰插云,M,大学,9195,0.377
雷峰夕照,M,大学,30426,0.451
南屏晚钟,M,大学,20743,0.262
苏提春晓,M,初中,4953,0.911
曲院风荷,M,大学及以上,37482,0.383
平湖秋月,F,初中,36828,0.317
断桥残雪,M,大学及以上,9988,0.317
花港观鱼,F,初中,37273,0.929
柳浪闻莺,M,大学及以上,26324,0.714
三潭印月,F,大学,4387,0.91
双峰插云,F,高中,11007,0.499
雷峰夕照,M,大学及以上,13863,0.459
南屏晚钟,M,初中,48977,0.126
苏提春晓,F,大学及以上,10630,0.968
曲院风荷,F,初中,20052,0.627
平湖秋月,F,初中,8549,0.599
断桥残雪,F,初中,43769,0.133
花港观鱼,F,初中,9347,0.776
柳浪闻莺,F,高中,32134,0.796
三潭印月,M,大学,40351,0.966
双峰插云,M,大学,8926,0.361
雷峰夕照,M,大学及以上,37000,0.946
南屏晚钟,F,高中,7521,0.627
